state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
NE-2,0.9208,0.12096856214609852,0.5254247193639334,0.39105149134948614,0.2691356062007939,0.6826672458731537,0.4044561572178349,0.30496363708653196,0.20096786415201617,0.7007575757575758,0.047429875159412334,0.029152068132872952,0.03642978713039734,339666.0,1.0,0.0018
NE-3,0.0,-0.5808624056759628,0.17517865464612423,0.1097060727310348,0.1322159273557343,1.0,0.7560410603220871,0.683290176800301,0.1466813417325873,0.3436,0.04586693116493969,0.03101148305824262,0.029877665270759364,294831.0,1.0,0.0
NH,0.9391,0.07864280998241047,0.5124170272563529,0.43841312344394995,0.14699557021162563,0.6856564796081355,0.4337742172739424,0.3654380901098422,0.13462020262272567,0.8784893267651889,0.035359883148287696,0.01980575371937583,0.03109241091327911,806182.0,4.0,0.0061
NJ,0.9978,0.17822031501380292,0.5665319707824329,0.47453691213420596,0.17950416282698162,0.6520344758468631,0.38831165576862997,0.29803054185496525,0.18061638238663486,0.9090909090909091,0.024276500992612218,0.01112678005307414,0.026355595882352784,4549353.0,14.0,0.0007
NM,0.994,0.10467348208817473,0.505757294990306,0.4449891971344887,0.11841180530002837,0.6543259557344064,0.40108381290213124,0.3514100322906416,0.0988334845640233,0.9333333333333333,0.06010682946532342,0.04002995114408307,0.039957491639044704,923965.0,5.0,0.0009
NV,0.7608,0.02251913014571172,0.48507223789943943,0.44057780053400386,0.09035649245312294,0.7627497371188223,0.4625531077537277,0.41974989259100415,0.08672781893770809,0.6960702341137124,0.03064184788407625,0.01605703879810002,0.02925594130570016,1405376.0,6.0,0.0385
NY,1.0,0.17644381682944177,0.5650137456613797,0.5074760618710659,0.11430538191756967,0.6508,0.38856992883193797,0.3341794112152558,0.10874660917023415,1.0,0.06075919285851647,0.03793631665949354,0.046199198862809904,8661735.0,28.0,0.0
OH,0.0311,-0.06572590559722336,0.4433659055912993,0.3920761763816521,0.10330758176206994,0.9839228295819936,0.5090918111885226,0.46062476345589626,0.09734896334443116,0.3542161213747549,0.029114283599813127,0.015885933200532307,0.02631974634611309,5922202.0,17.0,0.0045
OK,0.0,-0.40802059919971867,0.26743659675831133,0.199978757661458,0.13495151041442854,1.0,0.67545719595803,0.5779003226746017,0.19674949679371723,0.3436,0.034728279057586214,0.01812016519908339,0.03290372735985901,1560699.0,7.0,0.0
OR,0.9983,0.15084539707449318,0.5328805584939258,0.44880570349568083,0.16554019960447108,0.6519082440148252,0.3820351614194326,0.31765643617450134,0.1277064463659625,0.9411764705882353,0.061707195596302264,0.04137372271422434,0.04071824374817976,2374321.0,8.0,0.0005
PA,0.6706,0.013673746466248249,0.486255093475227,0.4441478033979586,0.08447857277014886,0.8578884580972264,0.47258134700897875,0.4316375303849085,0.08251129320098294,0.7601700060716454,0.02425785181560202,0.013035645273625121,0.02249554923698529,6915283.0,19.0,0.2292
RI,0.9998,0.15555888721791744,0.5496536654833377,0.48015607473739425,0.13739035175666164,0.6509301860372074,0.3940947782654203,0.33081748081111684,0.12646398032466627,1.0,0.034765232515661805,0.01696720413400813,0.03569978330807893,516990.0,4.0,0.0
