state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
HI,1.0,0.3673214539852546,0.6434416268919745,0.5276496364131708,0.2262281531238327,0.5748,0.27612017290671986,0.1543630318588663,0.24379324743166442,1.0,0.054399884648557176,0.03382668303243831,0.040874331214115156,579784.0,4.0,0.0
IA,0.1233,-0.07811101903010143,0.4275842911993796,0.3314188500820859,0.1939742324321056,0.8953771289537713,0.505695310229481,0.4148885755393646,0.18313285245425032,0.46435496749173033,0.04074015956618318,0.02723755383140234,0.02686259485774336,1700130.0,6.0,0.0049
ID,0.0,-0.3431696964381199,0.285316975932699,0.21540235074418693,0.1388449860422676,1.0,0.6284866723708189,0.5211010164065798,0.21472815071257678,0.4198,0.05980563908454292,0.035423823115023276,0.05022524301126831,868014.0,4.0,0.0
IL,0.999,0.1806908769876917,0.5600969700791072,0.4736538546105037,0.17240697578281994,0.5753753753753754,0.3794060930914155,0.3120447776912288,0.13258003492264347,1.0,0.033639179407045534,0.020608696593229905,0.026333336455333513,6033743.0,19.0,0.0002
IN,0.0,-0.17871538945913057,0.38212759298068366,0.3196739710988583,0.12518898892800173,1.0,0.5608429824398142,0.4933783273995166,0.13370077085068077,0.4198,0.03079164403590203,0.018469245444314587,0.024999025033627796,3033118.0,11.0,0.0
KS,0.0026,-0.19840048219075984,0.3690757633317476,0.276912248421321,0.18675489185905142,1.0,0.5674762455225074,0.4623395922469403,0.21131270555844972,0.42089432524563863,0.03502868146648945,0.018602118561727644,0.03277814223777782,1372303.0,6.0,0.0
KY,0.0,-0.3404552411757297,0.29976320963705816,0.23740931092311718,0.12346140647998072,1.0,0.6402184508127878,0.5930353048474575,0.09320867277994338,0.4198,0.0334092833971044,0.01841647709226917,0.029717928879366067,2136768.0,8.0,0.0
LA,0.0,-0.25811627161621287,0.3434633884620226,0.24835890445744813,0.19011001528017557,1.0,0.6015796600782355,0.5270309463059452,0.14623666658482004,0.4198,0.02798948096056971,0.012814061623440919,0.030414913223320413,2148062.0,8.0,0.0
MA,1.0,0.2947233245653281,0.6136040971017953,0.5460281830730528,0.13517151100859626,0.5748,0.3188807725364672,0.26232613582621017,0.11166025815837377,1.0,0.04360889164745424,0.02583216801367594,0.035247544557297186,3658005.0,11.0,0.0
MD,1.0,0.30236379941892466,0.6232949398547379,0.5649094500943919,0.11624613959192742,0.5748,0.3209311404358133,0.2666814181842435,0.1070831781289035,1.0,0.040773983039128166,0.02582806881756954,0.03004813384518534,3037030.0,10.0,0.0
ME,0.904,0.08982867130682815,0.50549686666984,0.4150830226565071,0.18119325467692982,0.6216814159292036,0.4156681953630118,0.3151681468603551,0.1981936352956738,0.8614583333333333,0.05168735123811242,0.02806629975811393,0.04763886130283101,828305.0,2.0,0.0041
ME-1,0.9999,0.23802067954499906,0.5849779393811476,0.46275907670886446,0.24622623846080166,0.5748574857485749,0.34695725983614856,0.28042582959214446,0.1327354227812384,1.0,0.04076126471665863,0.023932512387136857,0.033949617969432966,443067.0,1.0,0.0
ME-2,0.0295,-0.14528924275863025,0.3927179190421706,0.2745275634193823,0.23942495007608838,0.8440677966101695,0.5380071618008009,0.44396870196751265,0.1887868419209084,0.42792375064399796,0.042623937477780996,0.028714388483530588,0.02825688218077203,376307.0,1.0,0.0001
MI,0.6039,0.006434614671428196,0.4795239985068658,0.442460508853096,0.07461455905322883,0.7916873654578572,0.4730893838354376,0.4378470074980655,0.07038405441586437,0.749810653875284,0.028817943822730903,0.018187341972374114,0.021000387863687006,5539302.0,15.0,0.1727
MN,0.9292,0.0498952142859625,0.4992147676272807,0.44738764678508225,0.1029415958546902,0.6138613861386139,0.4493195533413182,0.4060467654418064,0.0852780134787181,0.9378531073446328,0.03415380726000851,0.020693880003272193,0.027230170311373918,3277171.0,10.0,0.0176
MO,0.0004,-0.15823333268877382,0.3979522935696471,0.3371314678877846,0.12027864872491678,1.0,0.5561856262584209,0.48984112059746665,0.13318075456095713,0.41996798719487793,0.02852225691948388,0.01588160280712427,0.025479748675224404,3025962.0,10.0,0.0
MS,0.0075,-0.1881790135005833,0.3822532712269975,0.27939965895953084,0.20666560216523994,0.96,0.5704322847275808,0.4590061343952761,0.22150689243993765,0.4226700251889169,0.02268249677145985,0.005611605243558308,0.034206338090586486,1313759.0,6.0,0.0
MT,0.0,-0.17893518992770796,0.3874917004202172,0.3421328753178485,0.09052185129288176,1.0,0.5664268903479251,0.5155932870997508,0.1011079523715257,0.4198,0.029701762435516327,0.014100426711844225,0.031228902242056173,603674.0,4.0,0.0
NC,0.4423,-0.004057251365527481,0.4767831267957975,0.4386675953931298,0.07506155909689471,0.8704499208681891,0.48084037816132497,0.44371853335537287,0.07342477083324755,0.6526806526806527,0.02554965489518188,0.014266943906364937,0.02255780210453559,5524802.0,16.0,0.1551
ND,0.0,-0.2520202600700162,0.33144711790418013,0.25600808394267893,0.1525297034691243,1.0,0.5834673779741963,0.500021092266017,0.1679545350358741,0.4198,0.050159339572811205,0.03529557655361094,0.03012735534040995,361819.0,3.0,0.0
NE,0.0,-0.22127627300044572,0.3559328549980214,0.27673935524515536,0.15709687518670445,1.0,0.5772091279984671,0.5020400158836807,0.15160540145296364,0.4198,0.040192237772973524,0.02613628339631363,0.028297298765964443,956383.0,2.0,0.0
NE-1,0.0169,-0.15005120709415154,0.38968451994383346,0.2753347723107812,0.23017502240568144,0.9526627218934911,0.539735727037985,0.46716205070128797,0.1448571167933383,0.426202827789645,0.04383948174757147,0.027265953720381497,0.03364320111706094,321886.0,1.0,0.0
NE-2,0.913,0.11401349723364207,0.523310194518943,0.39329114079876304,0.2613043392210094,0.6104052573932092,0.40929669728530094,0.3106693938363237,0.1971130328223037,0.7724137931034483,0.0413488486022863,0.02540679640675057,0.03196557102484257,339666.0,1.0,0.0021
NE-3,0.0,-0.5882827324904303,0.17301075161767537,0.11043116192434616,0.12726515981354294,1.0,0.7612934841081057,0.6934701961643338,0.1338283724137378,0.4198,0.03962162710510825,0.02706527008505157,0.025435995551975264,294831.0,1.0,0.0
NH,0.9283,0.07120865183511849,0.508907911586126,0.4370443311552328,0.14368303205188626,0.6126252289130669,0.43769925975100754,0.3713494317457495,0.13133553270699005,0.9079497907949791,0.030042115101678153,0.016424479705922347,0.027409696864387677,806182.0,4.0,0.0059
NJ,0.9973,0.17268964439571344,0.5637322981485022,0.4759394890589768,0.17502684719722134,0.5761556201744711,0.3910426537527888,0.30548879566547876,0.17318084068005707,0.9259259259259259,0.018025968170045197,0.006787833832175225,0.022565546046908212,4549353.0,14.0,0.0006
NM,0.998,0.10380130983253177,0.5050903600708871,0.4470035859338799,0.11783642463145971,0.5759519038076152,0.40128905023835537,0.35509240908915,0.09252761223145883,1.0,0.056047901690866694,0.03841705059007547,0.035276637193927,923965.0,5.0,0.0002
